main_to_int,n_substrates,n_extra_vars,iteration,mtry,nrounds,max_depth,k
0.1,20,0,26,3,20,4,7
0.1,20,1,26,4,10,6,5
0.1,20,3,26,5,10,6,5
0.1,20,5,26,8,20,4,5
0.1,20,10,26,10,20,4,5
0.1,20,20,26,17,20,4,13
0.1,20,30,26,33,20,4,13
0.1,20,40,26,32,20,4,13
0.1,20,50,26,40,20,4,13
0.1,20,0,27,3,20,4,5
0.1,20,1,27,4,20,4,9
0.1,20,3,27,6,10,4,9
0.1,20,5,27,8,10,4,7
0.1,20,10,27,13,10,4,9
0.1,20,20,27,17,10,6,13
0.1,20,30,27,25,10,4,13
0.1,20,40,27,32,10,4,13
0.1,20,50,27,40,10,4,13
0.1,20,0,28,3,20,4,5
0.1,20,1,28,4,20,4,5
0.1,20,3,28,4,20,6,5
0.1,20,5,28,8,20,4,7
0.1,20,10,28,13,20,4,7
0.1,20,20,28,23,10,4,13
0.1,20,30,28,33,10,6,13
0.1,20,40,28,32,20,4,11
0.1,20,50,28,53,10,6,13
0.1,20,0,29,3,20,6,5
0.1,20,1,29,4,20,4,5
0.1,20,3,29,5,20,4,5
0.1,20,5,29,8,10,6,9
0.1,20,10,29,13,20,4,11
0.1,20,20,29,17,10,6,13
0.1,20,30,29,25,10,4,13
0.1,20,40,29,22,10,6,13
0.1,20,50,29,40,20,4,13
0.1,20,0,30,3,20,6,5
0.1,20,1,30,3,20,4,5
0.1,20,3,30,4,20,4,7
0.1,20,5,30,6,20,4,7
0.1,20,10,30,13,20,4,5
0.1,20,20,30,12,20,4,9
0.1,20,30,30,25,20,4,13
0.1,20,40,30,22,20,4,11
0.1,20,50,30,27,20,4,13
0.1,30,0,1,3,20,6,5
0.1,30,1,1,4,20,4,5
0.1,30,3,1,6,20,4,7
0.1,30,5,1,8,20,4,11
0.1,30,10,1,13,20,4,9
0.1,30,20,1,17,20,4,13
0.1,30,30,1,33,20,4,13
0.1,30,40,1,43,20,6,13
0.1,30,50,1,40,20,4,13
0.1,30,0,2,3,20,4,5
0.1,30,1,2,4,10,6,7
0.1,30,3,2,6,20,4,11
0.1,30,5,2,8,20,6,13
0.1,30,10,2,10,10,6,5
0.1,30,20,2,17,20,4,13
0.1,30,30,2,25,20,6,13
0.1,30,40,2,43,20,6,13
0.1,30,50,2,40,10,6,13
0.1,30,0,3,3,20,6,5
0.1,30,1,3,4,20,6,5
0.1,30,3,3,6,20,4,7
0.1,30,5,3,8,20,4,9
0.1,30,10,3,13,30,4,13
0.1,30,20,3,23,20,4,13
0.1,30,30,3,25,20,4,13
0.1,30,40,3,43,20,4,13
0.1,30,50,3,40,20,4,13
0.1,30,0,4,3,20,4,7
0.1,30,1,4,4,20,6,5
0.1,30,3,4,6,20,4,5
0.1,30,5,4,8,20,4,7
0.1,30,10,4,13,10,6,7
0.1,30,20,4,23,20,6,13
0.1,30,30,4,33,20,4,11
0.1,30,40,4,43,20,4,13
0.1,30,50,4,53,20,4,13
0.1,30,0,5,3,20,6,5
0.1,30,1,5,4,20,6,5
0.1,30,3,5,6,20,4,5
0.1,30,5,5,8,20,4,9
0.1,30,10,5,13,20,6,9
0.1,30,20,5,23,20,4,13
0.1,30,30,5,33,20,4,13
0.1,30,40,5,43,20,4,13
0.1,30,50,5,40,20,6,13
0.1,30,0,6,3,20,6,5
0.1,30,1,6,3,20,4,5
0.1,30,3,6,6,10,6,5
0.1,30,5,6,8,20,4,5
0.1,30,10,6,10,20,4,11
0.1,30,20,6,23,20,6,13
0.1,30,30,6,25,20,6,13
0.1,30,40,6,32,20,4,13
0.1,30,50,6,40,20,4,13
0.1,30,0,7,3,30,4,5
0.1,30,1,7,4,20,4,5
0.1,30,3,7,6,20,4,5
0.1,30,5,7,8,20,4,7
0.1,30,10,7,13,10,6,7
0.1,30,20,7,23,20,4,13
0.1,30,30,7,25,20,4,13
0.1,30,40,7,43,30,4,13
0.1,30,50,7,53,30,4,13
0.1,30,0,8,3,20,4,7
0.1,30,1,8,4,20,4,5
0.1,30,3,8,6,20,6,5
0.1,30,5,8,8,20,4,13
0.1,30,10,8,13,20,4,7
0.1,30,20,8,23,20,4,13
0.1,30,30,8,25,10,6,13
0.1,30,40,8,43,20,4,13
0.1,30,50,8,40,20,6,13
0.1,30,0,9,3,20,6,5
0.1,30,1,9,4,20,6,5
0.1,30,3,9,6,20,4,5
0.1,30,5,9,8,10,6,7
0.1,30,10,9,10,20,4,11
0.1,30,20,9,23,10,6,13
0.1,30,30,9,25,10,6,13
0.1,30,40,9,32,20,4,13
0.1,30,50,9,53,20,4,13
0.1,30,0,10,3,20,6,5
0.1,30,1,10,4,20,6,5
0.1,30,3,10,5,20,6,7
0.1,30,5,10,8,20,4,5
0.1,30,10,10,13,20,4,5
0.1,30,20,10,17,20,4,7
0.1,30,30,10,17,20,4,11
0.1,30,40,10,43,20,4,11
0.1,30,50,10,40,20,4,13
0.1,30,0,11,3,20,6,5
0.1,30,1,11,4,30,4,5
0.1,30,3,11,5,20,6,5
0.1,30,5,11,8,20,6,5
0.1,30,10,11,13,10,6,9
0.1,30,20,11,23,20,4,13
0.1,30,30,11,33,20,4,13
0.1,30,40,11,32,20,6,13
0.1,30,50,11,40,30,4,13
0.1,30,0,12,3,20,4,9
0.1,30,1,12,4,20,4,5
0.1,30,3,12,5,20,4,7
0.1,30,5,12,6,20,4,5
0.1,30,10,12,10,20,4,5
0.1,30,20,12,23,20,4,13
0.1,30,30,12,25,20,4,13
0.1,30,40,12,32,20,4,13
0.1,30,50,12,53,20,4,13
0.1,30,0,13,3,20,4,5
0.1,30,1,13,4,20,4,7
0.1,30,3,13,6,20,4,5
0.1,30,5,13,8,20,4,5
0.1,30,10,13,10,20,4,9
0.1,30,20,13,23,20,4,13
0.1,30,30,13,33,20,4,13
0.1,30,40,13,32,20,6,13
0.1,30,50,13,40,20,4,7
0.1,30,0,14,3,20,6,5
0.1,30,1,14,4,20,4,5
0.1,30,3,14,5,20,4,5
0.1,30,5,14,8,30,4,5
0.1,30,10,14,13,20,4,5
0.1,30,20,14,23,30,4,13
0.1,30,30,14,33,20,4,13
0.1,30,40,14,43,20,4,13
0.1,30,50,14,53,20,4,13
0.1,30,0,15,3,20,6,5
0.1,30,1,15,4,20,4,5
0.1,30,3,15,6,20,4,5
0.1,30,5,15,8,20,4,5
0.1,30,10,15,13,20,4,7
0.1,30,20,15,17,20,6,13
0.1,30,30,15,33,20,4,7
0.1,30,40,15,32,20,4,13
